scan_id,subset,x_var,y_var,n_events,k_best,delta_chi2,outer_global_p
scan_000,rank_top32_eta_gap_from_equal_mass,log_final_mass_source,final_spin,32,13.02438109527382,108.9453096923208,0.001998001998001998
scan_001,rank_top32_asymmetry_1_minus_q,log_final_mass_source,final_spin,32,13.02438109527382,108.9453096923208,0.001998001998001998
scan_002,rank_top32_eta_gap_from_equal_mass,log_total_mass_source,final_spin,32,12.944861215303828,107.39773846482548,0.001998001998001998
scan_003,rank_top32_asymmetry_1_minus_q,log_total_mass_source,final_spin,32,12.944861215303828,107.39773846482548,0.001998001998001998
scan_004,high_mass_total_mass_source_ge_q0.75_82.1085,log_chirp_mass_source,final_spin,22,0.5,9.587588993593162,0.06593406593406594
scan_005,low_final_spin_final_spin_le_q0.25_0.668474,log_final_mass_source,final_spin,22,72.98237059264817,62.941666673288566,0.02197802197802198
scan_006,rank_top24_eta_gap_from_equal_mass,log_total_mass_source,final_spin,24,13.02438109527382,98.842788702253,0.005994005994005994
scan_007,asymmetric_high_1_minus_q_asymmetry_1_minus_q_ge_q0.75_0.400311,log_final_mass_source,final_spin,22,67.3364591147787,93.0567530355057,0.003996003996003996
scan_008,low_final_spin_final_spin_le_q0.25_0.668474,log_total_mass_source,final_spin,22,15.946736684171045,59.08212991753624,0.023976023976023976
scan_009,rank_top16_asymmetry_1_minus_q,log_total_mass_source,final_spin,16,67.15753938484622,92.69724892798575,0.004995004995004995
scan_010,low_eta_asymmetric_symmetric_mass_ratio_le_q0.25_0.234343,log_final_mass_source,final_spin,22,67.3364591147787,93.0567530355057,0.003996003996003996
scan_011,rank_top24_eta_gap_from_equal_mass,log_final_mass_source,final_spin,24,13.12378094523631,100.69012841010398,0.005994005994005994
scan_012,low_eta_asymmetric_symmetric_mass_ratio_le_q0.25_0.234343,log_total_mass_source,final_spin,22,66.79969992498125,89.94435922684606,0.003996003996003996
scan_013,high_chirp_mass_chirp_mass_source_ge_q0.75_34.5278,log_chirp_mass_source,final_spin,22,0.5,9.587588993593162,0.06593406593406594
scan_014,rank_top24_asymmetry_1_minus_q,log_final_mass_source,final_spin,24,13.12378094523631,100.69012841010398,0.005994005994005994
scan_015,high_eta_gap_eta_gap_from_equal_mass_ge_q0.75_0.0156566,log_final_mass_source,final_spin,22,67.3364591147787,93.0567530355057,0.003996003996003996
scan_016,asymmetric_high_1_minus_q_asymmetry_1_minus_q_ge_q0.75_0.400311,log_total_mass_source,final_spin,22,66.79969992498125,89.94435922684606,0.003996003996003996
scan_017,high_final_mass_final_mass_source_ge_q0.75_78.4023,log_chirp_mass_source,final_spin,22,0.5,9.587588993593162,0.06593406593406594
scan_018,distant_luminosity_distance_ge_q0.75_4054.52,log_final_mass_source,final_spin,22,77.81320330082521,7.845257153531152,0.0939060939060939
scan_019,asymmetric_low_q_mass_ratio_le_q0.25_0.599689,log_total_mass_source,final_spin,22,66.79969992498125,89.94435922684606,0.003996003996003996
scan_020,rank_top32_eta_gap_from_equal_mass,log_chirp_mass_source,final_spin,32,9.08814703675919,66.26999893987744,0.01998001998001998
scan_021,rank_top16_asymmetry_1_minus_q,log_final_mass_source,final_spin,16,67.21717929482371,95.66127365597023,0.003996003996003996
scan_022,rank_top32_asymmetry_1_minus_q,log_chirp_mass_source,final_spin,32,9.08814703675919,66.26999893987744,0.01998001998001998
scan_023,rank_top20_eta_gap_from_equal_mass,log_total_mass_source,final_spin,20,66.83945986496624,92.51918678913088,0.003996003996003996
scan_024,high_eta_gap_eta_gap_from_equal_mass_ge_q0.75_0.0156566,log_total_mass_source,final_spin,22,66.79969992498125,89.94435922684606,0.003996003996003996
scan_025,rank_top24_asymmetry_1_minus_q,log_total_mass_source,final_spin,24,13.02438109527382,98.842788702253,0.005994005994005994
scan_026,rank_top20_asymmetry_1_minus_q,log_total_mass_source,final_spin,20,66.83945986496624,92.51918678913088,0.003996003996003996
scan_027,asymmetric_low_q_mass_ratio_le_q0.25_0.599689,log_final_mass_source,final_spin,22,67.3364591147787,93.0567530355057,0.003996003996003996
scan_028,rank_top20_eta_gap_from_equal_mass,log_final_mass_source,final_spin,20,67.3563390847712,97.6639701801779,0.003996003996003996
scan_029,rank_top16_eta_gap_from_equal_mass,log_total_mass_source,final_spin,16,67.15753938484622,92.69724892798575,0.004995004995004995
scan_030,rank_top20_asymmetry_1_minus_q,log_final_mass_source,final_spin,20,67.3563390847712,97.6639701801779,0.003996003996003996
scan_031,rank_top16_eta_gap_from_equal_mass,log_final_mass_source,final_spin,16,67.21717929482371,95.66127365597023,0.003996003996003996
scan_032,rank_top12_asymmetry_1_minus_q,log_chirp_mass_source,final_spin,12,37.95386346586647,30.224236402675764,0.08591408591408592
scan_033,low_eta_asymmetric_symmetric_mass_ratio_le_q0.25_0.234343,log_chirp_mass_source,final_spin,22,43.95761440360091,65.75969967988942,0.016983016983016984
scan_034,rank_top24_asymmetry_1_minus_q,log_chirp_mass_source,final_spin,24,26.80120030007502,69.59914803682749,0.016983016983016984
scan_035,asymmetric_high_1_minus_q_asymmetry_1_minus_q_ge_q0.75_0.400311,log_chirp_mass_source,final_spin,22,43.95761440360091,65.75969967988942,0.016983016983016984
scan_036,rank_top24_chirp_mass_source,log_final_mass_source,final_spin,24,64.45386346586648,7.818174953838554,0.12487512487512488
scan_037,rank_top24_eta_gap_from_equal_mass,log_chirp_mass_source,final_spin,24,26.80120030007502,69.59914803682749,0.016983016983016984
scan_038,rank_top12_eta_gap_from_equal_mass,log_chirp_mass_source,final_spin,12,37.95386346586647,30.224236402675764,0.08591408591408592
scan_039,rank_top24_total_mass_source,log_final_mass_source,final_spin,24,64.45386346586648,7.818174953838554,0.12487512487512488
scan_040,all_events,log_final_mass_source,final_spin,86,3.0645161290322585,117.50726768467185,0.08491508491508491
scan_041,high_eta_gap_eta_gap_from_equal_mass_ge_q0.75_0.0156566,log_chirp_mass_source,final_spin,22,43.95761440360091,65.75969967988942,0.016983016983016984
scan_042,rank_top24_total_mass_source,log_total_mass_source,final_spin,24,63.87734433608403,7.700153517950838,0.13486513486513488
scan_043,rank_top12_final_spin,log_chirp_mass_source,final_spin,12,56.541635408852216,3.171798461863948,0.6233766233766234
scan_044,asymmetric_low_q_mass_ratio_le_q0.25_0.599689,log_chirp_mass_source,final_spin,22,43.95761440360091,65.75969967988942,0.016983016983016984
scan_045,rank_top24_final_mass_source,log_final_mass_source,final_spin,24,64.45386346586648,7.818174953838554,0.12487512487512488
scan_046,distant_luminosity_distance_ge_q0.75_4054.52,log_total_mass_source,final_spin,22,50.85596399099775,7.1778045714514125,0.13086913086913088
scan_047,rank_top24_final_mass_source,log_total_mass_source,final_spin,24,63.87734433608403,7.700153517950838,0.13486513486513488
