variable,bins,baseline_family,degree,fold,validation_deviance,n_events,p_astro_min,data_split,selected
M_chirp,40,polynomial_poisson,3,0,14.980870529153572,173,0.5,train,False
M_chirp,40,polynomial_poisson,3,1,27.38670075683385,173,0.5,train,False
M_chirp,40,polynomial_poisson,3,2,34.52754563825475,173,0.5,train,False
M_chirp,40,polynomial_poisson,3,3,25.89148451815349,173,0.5,train,False
M_chirp,40,polynomial_poisson,3,4,15.757623465807137,173,0.5,train,False
M_chirp,40,polynomial_poisson,3,mean,23.70884498164056,173,0.5,train,False
M_chirp,40,polynomial_poisson,4,0,19.25287308086633,173,0.5,train,False
M_chirp,40,polynomial_poisson,4,1,24.95263848206045,173,0.5,train,False
M_chirp,40,polynomial_poisson,4,2,34.607394728830194,173,0.5,train,False
M_chirp,40,polynomial_poisson,4,3,23.098653179805073,173,0.5,train,False
M_chirp,40,polynomial_poisson,4,4,16.472021494961037,173,0.5,train,False
M_chirp,40,polynomial_poisson,4,mean,23.676716193304618,173,0.5,train,False
M_chirp,40,polynomial_poisson,5,0,19.398741684526605,173,0.5,train,False
M_chirp,40,polynomial_poisson,5,1,22.946383861765046,173,0.5,train,False
M_chirp,40,polynomial_poisson,5,2,32.564034610143935,173,0.5,train,False
M_chirp,40,polynomial_poisson,5,3,24.02036414428131,173,0.5,train,False
M_chirp,40,polynomial_poisson,5,4,29.00276004700016,173,0.5,train,False
M_chirp,40,polynomial_poisson,5,mean,25.58645686954341,173,0.5,train,False
M_chirp,40,polynomial_poisson,6,0,35.092373549579,173,0.5,train,False
M_chirp,40,polynomial_poisson,6,1,18.159787086633532,173,0.5,train,False
M_chirp,40,polynomial_poisson,6,2,31.74043704937189,173,0.5,train,False
M_chirp,40,polynomial_poisson,6,3,18.691939775495936,173,0.5,train,False
M_chirp,40,polynomial_poisson,6,4,18.113963411371447,173,0.5,train,False
M_chirp,40,polynomial_poisson,6,mean,24.359700174490364,173,0.5,train,False
M_chirp,40,polynomial_poisson,7,0,22.57781931201917,173,0.5,train,False
M_chirp,40,polynomial_poisson,7,1,17.561288215876417,173,0.5,train,False
M_chirp,40,polynomial_poisson,7,2,27.286482762299777,173,0.5,train,False
M_chirp,40,polynomial_poisson,7,3,17.779076152806088,173,0.5,train,False
M_chirp,40,polynomial_poisson,7,4,17.04946625872026,173,0.5,train,False
M_chirp,40,polynomial_poisson,7,mean,20.450826540344345,173,0.5,train,True
M_chirp,40,polynomial_poisson,8,0,69.25336424593804,173,0.5,train,False
M_chirp,40,polynomial_poisson,8,1,17.0510648935842,173,0.5,train,False
M_chirp,40,polynomial_poisson,8,2,27.165928207107186,173,0.5,train,False
M_chirp,40,polynomial_poisson,8,3,17.30399959691937,173,0.5,train,False
M_chirp,40,polynomial_poisson,8,4,13.892995293356044,173,0.5,train,False
M_chirp,40,polynomial_poisson,8,mean,28.933470447380973,173,0.5,train,False
