catalog_version,variable,subset,bin_count,k_best,n_star,DeltaD_star,local_p,global_p,null_n,verdict_label,notes
cumulative,M_chirp,cumulative_pa0.5,20,17.428571428571427,11.271145813332723,4.606234506403222,0.09994679813645645,0.5386533665835411,400,FAIL,control=smooth_resample;real=0;n_events=277
cumulative,M_chirp,cumulative_pa0.5,20,3.8193277310924367,2.6219784204369465,5.612611307994724,0.060427821816418315,0.3740648379052369,400,FAIL,control=smooth_resample;real=1;n_events=277
cumulative,M_chirp,cumulative_pa0.5,20,10.457983193277311,7.056977337596994,3.951136278783112,0.138682498866058,0.6109725685785536,400,FAIL,control=smooth_resample;real=2;n_events=277
cumulative,M_chirp,cumulative_pa0.5,20,37.67647058823529,26.5157688338577,6.974094900736695,0.030591060587480814,0.18703241895261846,400,FAIL,control=smooth_resample;real=3;n_events=277
cumulative,M_chirp,cumulative_pa0.5,20,33.693277310924366,22.63778229348975,4.509617961274371,0.10489357852724306,0.5511221945137157,400,FAIL,control=smooth_resample;real=4;n_events=277
cumulative,M_chirp,cumulative_pa0.5,20,19.088235294117645,13.37656091567798,8.99427605586994,0.011140835715690899,0.1596009975062344,400,FAIL,control=uniform_ell;real=0;n_events=277
cumulative,M_chirp,cumulative_pa0.5,20,17.096638655462183,12.001409672495518,5.777244222073936,0.055652843243574564,0.5486284289276808,400,FAIL,control=uniform_ell;real=1;n_events=277
cumulative,M_chirp,cumulative_pa0.5,20,33.029411764705884,23.337318676615165,5.531984214380644,0.06291365128973947,0.5386533665835411,400,FAIL,control=uniform_ell;real=2;n_events=277
cumulative,M_chirp,cumulative_pa0.5,20,25.06302521008403,17.686048330898725,6.87295979807625,0.032177755149364266,0.30174563591022446,400,FAIL,control=uniform_ell;real=3;n_events=277
cumulative,M_chirp,cumulative_pa0.5,20,39.668067226890756,27.868146019918555,2.949306400242321,0.22885808123925985,0.9102244389027432,400,FAIL,control=uniform_ell;real=4;n_events=277
cumulative,M_chirp,cumulative_pa0.5,20,25.06302521008403,17.054350660250595,41.3697366929775,1.0391442007015913e-09,0.0024937655860349127,400,PARTIAL,control=jitter;real=0;n_events=277
cumulative,M_chirp,cumulative_pa0.5,20,22.739495798319325,16.84890248863749,28.292550062406747,7.183743454997067e-07,0.004987531172069825,400,PARTIAL,control=jitter;real=1;n_events=277
cumulative,M_chirp,cumulative_pa0.5,20,21.079831932773107,16.47451619049294,51.903168499430166,5.36253529587307e-12,0.0024937655860349127,400,PARTIAL,control=jitter;real=2;n_events=274
cumulative,M_chirp,cumulative_pa0.5,20,24.067226890756302,16.881998101315343,51.23948600968854,7.472862394462182e-12,0.0024937655860349127,400,PARTIAL,control=jitter;real=3;n_events=277
cumulative,M_chirp,cumulative_pa0.5,20,24.067226890756302,17.056979568223596,43.50254693320205,3.5771895969793153e-10,0.007481296758104738,400,PARTIAL,control=jitter;real=4;n_events=276
cumulative,abs_chi_eff,cumulative_pa0.5,20,20.415966386554622,13.804643952806122,32.50493341995487,8.742656002732672e-08,0.0024937655860349127,400,PARTIAL,control=bounded_chi_eff;bounded_non_scale_diagnostic_only;n_events=264
