event_key,commonName,catalog_version,GPS,observing_run,source_class,M_chirp,M_total,mass_1_source,mass_2_source,M_final,D_L,redshift,chi_eff,p_astro,far,M_chirp_lower,M_chirp_upper,M_total_lower,M_total_upper,D_L_lower,D_L_upper,is_primary_entry
GW250207_115645-v1,GW250207_115645,O4_Discovery_Papers,1422964623.3,O4b,BBH,28.57,65.9,35.2,30.6,62.7,187.0,0.04,0.0,,1e-05,-0.77,0.44,-1.7,1.0,-52.0,121.0,True
GW250120_042414-v1,GW250120_042414,GWTC-5.0,1421382272.1,O4b,unknown,,,,,,,,,0.89,1.6,,,,,,,True
GW250119_190238-v1,GW250119_190238,GWTC-5.0,1421348576.3,O4b,BBH,9.38,21.64,11.54,9.95,20.56,311.0,0.07,0.09,0.99,1e-05,-0.48,0.14,-1.03,0.55,-68.0,289.0,True
GW250119_025138-v1,GW250119_025138,GWTC-5.0,1421290316.8,O4b,BBH,25.7,59.9,33.8,26.7,57.1,3100.0,0.52,0.06,0.99,1e-05,-2.5,4.0,-5.4,8.8,-1300.0,1100.0,True
GW250118_170523-v1,GW250118_170523,GWTC-5.0,1421255141.2,O4b,BBH,29.0,67.8,38.1,29.6,64.4,1910.0,0.35,0.12,0.99,1e-05,-2.9,3.5,-6.7,7.9,-740.0,800.0,True
GW250118_055802-v1,GW250118_055802,GWTC-5.0,1421215100.5,O4b,BBH,7.36,17.5,10.3,6.9,16.6,940.0,0.19,0.11,0.99,0.0089,-0.63,0.45,-1.6,4.7,-380.0,630.0,True
GW250118_023225-v1,GW250118_023225,GWTC-5.0,1421202763.9,O4b,BBH,31.1,74.0,44.0,31.0,71.0,5800.0,0.88,0.04,0.99,0.0035,-6.0,8.9,-13.0,20.0,-2900.0,3800.0,True
GW250116_051426-v1,GW250116_051426,GWTC-5.0,1421039685.0,O4b,unknown,,,,,,,,,0.63,4.8,,,,,,,True
GW250116_015318-v1,GW250116_015318,GWTC-5.0,1421027616.4,O4b,BBH,23.0,56.0,34.2,21.3,53.0,5200.0,0.8,0.15,0.99,0.12,-5.0,6.9,-11.0,16.0,-2500.0,3900.0,True
GW250114_082203-v1,GW250114_082203,O4_Discovery_Papers,1420878141.2,O4b,BBH,28.6,65.8,33.6,32.2,62.7,403.0,0.09,-0.03,,,-0.5,0.5,-1.2,1.1,-70.0,74.0,False
GW250114_082203-v2,GW250114_082203,GWTC-5.0,1420878141.2,O4b,BBH,28.71,66.0,33.76,32.26,62.9,405.0,0.09,-0.03,0.99,1e-05,-0.51,0.5,-1.2,1.1,-73.0,84.0,True
GW250109_083206-v1,GW250109_083206,GWTC-5.0,1420446744.3,O4b,unknown,,,,,,,,,0.99,1.4,,,,,,,True
GW250109_074552-v1,GW250109_074552,GWTC-5.0,1420443970.4,O4b,BBH,29.6,69.2,39.0,30.2,65.9,2300.0,0.41,0.07,0.95,0.42,-3.8,4.7,-8.6,10.5,-1100.0,1400.0,True
GW250109_010541-v1,GW250109_010541,GWTC-5.0,1420419959.5,O4b,BBH,27.4,64.9,37.5,27.4,62.2,3400.0,0.56,-0.11,0.99,1e-05,-3.9,6.4,-8.6,14.7,-1700.0,1700.0,True
GW250108_152221-v1,GW250108_152221,GWTC-5.0,1420384959.7,O4b,BBH,37.6,90.0,54.0,36.0,86.0,3800.0,0.63,0.05,0.99,0.00015,-5.5,7.7,-13.0,17.0,-1900.0,2400.0,True
GW250105_134047-v1,GW250105_134047,GWTC-5.0,1420119665.7,O4b,unknown,,,,,,,,,0.51,10.0,,,,,,,True
GW250104_015122-v1,GW250104_015122,GWTC-5.0,1419990700.3,O4b,BBH,33.9,80.0,45.8,34.5,76.0,4800.0,0.76,0.11,0.99,1e-05,-5.2,8.1,-11.0,18.0,-2300.0,2500.0,True
GW250101_011205-v1,GW250101_011205,GWTC-5.0,1419729143.0,O4b,BBH,21.5,50.8,30.0,21.1,48.7,3200.0,0.54,-0.05,0.99,0.02,-3.3,4.1,-6.6,9.3,-1500.0,1700.0,True
GW241231_054133-v1,GW241231_054133,GWTC-5.0,1419658911.6,O4b,BBH,8.08,19.6,12.4,7.1,18.7,910.0,0.18,0.08,0.99,1e-05,-0.22,0.43,-1.2,2.0,-330.0,190.0,True
GW241230_233618-v1,GW241230_233618,GWTC-5.0,1419636996.1,O4b,BBH,49.3,116.0,68.0,49.0,112.0,2700.0,0.47,-0.14,0.95,0.48,-9.7,10.8,-18.0,23.0,-1300.0,2100.0,True
GW241230_084504-v1,GW241230_084504,GWTC-5.0,1419583522.5,O4b,BBH,32.4,75.6,42.4,33.5,72.4,2900.0,0.5,-0.14,0.99,1e-05,-4.0,5.7,-8.9,12.9,-1300.0,1400.0,True
GW241229_155844-v1,GW241229_155844,GWTC-5.0,1419523142.7,O4b,BBH,35.0,85.0,52.0,33.0,82.0,6800.0,1.0,0.05,0.99,0.083,-8.5,12.3,-19.0,27.0,-3400.0,5200.0,True
GW241225_082815-v1,GW241225_082815,GWTC-5.0,1419150513.7,O4b,BBH,41.8,98.0,55.7,42.2,94.0,1880.0,0.34,-0.17,0.99,1e-05,-5.2,6.1,-11.0,14.0,-880.0,1080.0,True
GW241225_042553-v1,GW241225_042553,GWTC-5.0,1419135971.2,O4b,BBH,8.65,20.6,12.4,8.1,19.6,660.0,0.14,0.12,0.99,1e-05,-0.26,0.42,-1.1,1.7,-270.0,190.0,True
GW241220_062146-v1,GW241220_062146,GWTC-5.0,1418710924.5,O4b,unknown,,,,,,,,,0.57,9.4,,,,,,,True
GW241219_222607-v1,GW241219_222607,GWTC-5.0,1418682385.3,O4b,unknown,,,,,,,,,0.56,7.900000000000001,,,,,,,True
GW241210_120900-v1,GW241210_120900,GWTC-5.0,1417867758.6,O4b,BBH,26.3,64.0,40.0,23.6,62.0,3600.0,0.59,-0.07,0.97,0.28,-4.9,6.4,-12.0,15.0,-1800.0,3000.0,True
GW241210_060606-v1,GW241210_060606,GWTC-5.0,1417845984.8,O4b,BBH,21.3,50.2,29.0,21.4,47.9,2600.0,0.45,0.04,0.99,1e-05,-2.4,4.1,-5.7,9.4,-1200.0,1200.0,True
GW241210_023335-v1,GW241210_023335,GWTC-5.0,1417833233.2,O4b,unknown,,,,,,,,,0.87,1.9000000000000001,,,,,,,True
GW241201_142737-v1,GW241201_142737,GWTC-5.0,1417098475.1,O4b,unknown,,,,,,,,,0.66,7.6000000000000005,,,,,,,True
GW241201_055758-v1,GW241201_055758,GWTC-5.0,1417067896.6,O4b,BBH,33.5,80.0,47.0,33.0,76.0,7100.0,1.03,0.13,0.92,0.83,-7.5,10.7,-16.0,24.0,-3800.0,4700.0,True
GW241130_110422-v1,GW241130_110422,GWTC-5.0,1416999880.1,O4b,BBH,7.31,17.8,11.1,6.5,17.0,1320.0,0.25,0.04,0.99,0.00055,-0.48,0.64,-1.7,3.4,-570.0,530.0,True
GW241130_034908-v1,GW241130_034908,GWTC-5.0,1416973766.6,O4b,BBH,23.3,54.2,29.9,24.3,51.6,1990.0,0.36,0.05,0.99,1e-05,-2.2,2.9,-5.1,6.7,-930.0,990.0,True
GW241129_140416-v1,GW241129_140416,GWTC-5.0,1416924274.7,O4b,unknown,,,,,,,,,0.51,16.0,,,,,,,True
GW241129_021832-v1,GW241129_021832,GWTC-5.0,1416881930.6,O4b,BBH,22.7,53.3,30.4,23.0,50.6,2550.0,0.45,0.17,0.99,1e-05,-1.7,2.8,-4.2,6.1,-910.0,740.0,True
GW241127_061008-v1,GW241127_061008,GWTC-5.0,1416723026.2,O4b,BBH,30.8,85.3,63.8,20.8,83.0,1080.0,0.21,-0.16,0.99,1e-05,-2.0,3.6,-5.6,6.0,-180.0,220.0,True
GW241125_010116-v1,GW241125_010116,GWTC-5.0,1416531694.8,O4b,BBH,45.0,106.0,60.0,47.0,101.0,4700.0,0.74,0.09,0.99,1.1e-05,-10.0,10.0,-22.0,23.0,-2200.0,3900.0,True
GW241124_024914-v1,GW241124_024914,GWTC-5.0,1416451772.3,O4b,BBH,28.4,70.0,42.0,26.0,67.0,4500.0,0.72,0.04,0.94,0.78,-6.1,8.6,-15.0,26.0,-2300.0,4000.0,True
GW241116_151753-v1,GW241116_151753,GWTC-5.0,1415805491.7,O4b,BBH,34.0,99.0,70.0,24.0,95.0,5700.0,0.87,0.28,0.99,0.0044,-9.6,18.8,-30.0,48.0,-2900.0,5600.0,True
GW241114_235258-v1,GW241114_235258,GWTC-5.0,1415663596.1,O4b,BBH,8.04,19.1,11.3,7.7,18.2,790.0,0.16,0.06,0.99,1e-05,-0.37,0.5,-1.3,2.9,-350.0,300.0,True
GW241114_024711-v1,GW241114_024711,GWTC-5.0,1415587649.8,O4b,BBH,29.2,71.9,47.0,25.0,68.9,2600.0,0.45,0.12,0.99,1e-05,-4.3,4.7,-9.5,9.9,-1000.0,1600.0,True
GW241113_163507-v1,GW241113_163507,GWTC-5.0,1415550925.5,O4b,BBH,14.4,33.9,19.3,14.4,31.7,1360.0,0.26,0.5,0.99,1e-05,-1.1,1.5,-3.0,3.9,-630.0,670.0,True
GW241111_111552-v1,GW241111_111552,GWTC-5.0,1415358970.6,O4b,BBH,19.5,45.4,25.3,20.5,43.2,1550.0,0.29,0.1,0.99,1e-05,-1.6,2.7,-3.7,5.9,-740.0,580.0,True
GW241110_124123-v1,GW241110_124123,O4_Discovery_Papers,1415277701.7,O4b,BBH,9.8,24.9,17.2,7.7,,736.0,,-0.28,,0.00063,-0.4,0.5,,,-267.0,270.0,False
GW241110_124123-v2,GW241110_124123,GWTC-5.0,1415277701.7,O4b,BBH,9.84,24.5,16.4,8.0,23.7,740.0,0.15,-0.31,0.99,0.00063,-0.42,0.5,-2.2,3.5,-260.0,260.0,True
GW241109_115924-v1,GW241109_115924,GWTC-5.0,1415188782.9,O4b,BBH,5.29,12.51,7.3,5.14,11.94,600.0,0.12,0.01,0.99,0.00011999999999999999,-0.2,0.28,-0.68,1.51,-290.0,230.0,True
GW241109_033317-v1,GW241109_033317,GWTC-5.0,1415158416.0,O4b,BBH,31.4,74.0,42.4,31.7,70.0,2700.0,0.46,0.01,0.99,0.0013,-5.2,7.0,-11.0,16.0,-1500.0,2000.0,True
GW241109_005349-v1,GW241109_005349,GWTC-5.0,1415148847.3,O4b,unknown,,,,,,,,,0.56,7.400000000000001,,,,,,,True
GW241106_110932-v1,GW241106_110932,GWTC-5.0,1414926590.1,O4b,unknown,,,,,,,,,0.73,3.8999999999999995,,,,,,,True
GW241102_144729-v1,GW241102_144729,GWTC-5.0,1414594067.7,O4b,BBH,31.5,75.1,44.4,31.0,72.0,3400.0,0.57,-0.09,0.99,1e-05,-4.8,6.5,-9.8,13.6,-1600.0,2000.0,True
GW241102_124058-v1,GW241102_124058,GWTC-5.0,1414586476.8,O4b,BBH,8.12,19.01,10.9,8.0,18.1,390.0,0.08,0.06,0.99,1e-05,-0.09,0.17,-0.47,1.45,-112.0,59.0,True
